Front	Back	Tags
מהו טווח הזמן הטיפוסי של עסקת סווינג?	ימים עד שבועות; במקרים חריגים העסקה עשויה להימשך כמה חודשים.	מסחר-סווינג::פתיח subject/יסודות difficulty/easy
מדוע סוחר צריך לשלוט בכמה סגנונות מסחר ולא להסתמך על סגנון אחד?	כי תנאי השוק משתנים: בתקופות מסוימות מסחר יומי עדיף, ובאחרות השקעה ארוכת טווח או סווינג מתאימים יותר.	מסחר-סווינג::פתיח subject/בחירת-אסטרטגיה difficulty/medium
מהו היתרון הלימודי של התחלה במסחר סווינג?	הוא מאפשר לצבור ביטחון וניסיון בעסקאות שנמשכות זמן רב יותר, תוך המשך הלמידה.	מסחר-סווינג::פתיח subject/יסודות difficulty/easy
מהי נקודת הפתיחה לבחירת מניה לעסקת סווינג?	הסיפור העסקי והניתוח הפונדמנטלי של החברה, ולא הגרף לבדו.	מסחר-סווינג::איתור-מניה-לסווינג subject/ניתוח-פונדמנטלי difficulty/easy
אילו גורמים יש לבדוק בניתוח פונדמנטלי לפני עסקת סווינג?	בין השאר: הנהלה, דוחות, רווחים, חובות ומתחרים.	מסחר-סווינג::איתור-מניה-לסווינג subject/ניתוח-פונדמנטלי difficulty/easy
מהי הטעות המרכזית בבחירת מניה לסווינג על סמך גרף בלבד?	הגרף אינו מגלה אם הסיפור העסקי תומך בהחזקת המניה במשך ימים או שבועות.	מסחר-סווינג::איתור-מניה-לסווינג subject/טעויות-נפוצות difficulty/medium
מהו הצעד הראשון בסימון רמות קריטיות על גרף?	לבצע זום־אאוט כדי להבין היכן המחיר נמצא ביחס להיסטוריה, ואז להתקדם פנימה בין הרזולוציות.	מסחר-סווינג::רמות-קריטיות subject/אלגוריתם difficulty/easy
מדוע מסמנים בעיקר רמות קריטיות הקרובות למחיר הנוכחי?	כי הן הרמות שעשויות להשפיע בפועל על העסקה הקרובה ולכן הן הרלוונטיות לקבלת החלטה.	מסחר-סווינג::רמות-קריטיות subject/רלוונטיות difficulty/medium
אילו מפגשים עם מחיר נחשבים נגיעה ברמה קריטית?	גם זנבות וגם מחירי פתיחה וסגירה נחשבים נגיעות.	מסחר-סווינג::רמות-קריטיות subject/דיוק difficulty/easy
מדוע נכון להתייחס לרמה קריטית כאזור ולא כמחיר מדויק עד הסנט?	כי תגובות המחיר ונגיעות היסטוריות מתפזרות בדרך כלל סביב טווח צר ולא על מחיר יחיד ומושלם.	מסחר-סווינג::רמות-קריטיות subject/דיוק difficulty/medium
כיצד מספר הנגיעות משפיע על עוצמת רמה קריטית?	ככל שיש יותר נגיעות והתכתבויות היסטוריות, הרמה נחשבת חזקה ומשמעותית יותר.	מסחר-סווינג::רמות-קריטיות subject/עוצמת-רמה difficulty/easy
כיצד הופעה של רמה בכמה רזולוציות משפיעה על עוצמתה?	רמה שנראית בחודשי, בשבועי וביומי חזקה יותר מרמה שניכרת ברזולוציה אחת בלבד.	מסחר-סווינג::רמות-קריטיות subject/ריבוי-טיימפריימים difficulty/easy
על אילו סוגי קווים חלים כללי הנגיעות וריבוי הרזולוציות?	גם על רמות תמיכה והתנגדות אופקיות וגם על קווי מגמה אלכסוניים.	מסחר-סווינג::רמות-קריטיות subject/קווי-מגמה difficulty/medium
כיצד אפשר לדייק רמה קריטית שכבר סומנה?	להזיז אותה מעט ולבדוק אם מתקבלות יותר נגיעות, התאמות בין רזולוציות או התכתבות עם מספר עגול.	מסחר-סווינג::רמות-קריטיות subject/דיוק difficulty/medium
מהו סדר הרזולוציות המומלץ לסימון רמות וקווי מגמה?	חודשי, אחר כך שבועי, ולבסוף יומי.	מסחר-סווינג::רמות-קריטיות subject/אלגוריתם difficulty/easy
מה עושים בקו מגמה שאינו נשאר רלוונטי לאחר ירידה לרזולוציה מפורטת יותר?	מסירים אותו כדי למנוע עומס ולהשאיר רק רמות שימושיות.	מסחר-סווינג::רמות-קריטיות subject/ניקיון-גרף difficulty/easy
היכן מחפשים בדרך כלל כניסה במסחר יומי ביחס לרמה קריטית?	בפריצה של הרמה הקריטית.	מסחר-סווינג::רמות-קריטיות subject/השוואת-סגנונות difficulty/easy
היכן מחפשים כניסת סווינג ביחס לרמה קריטית במגמת עלייה?	בתיקון כלפי מטה אל התמיכה, לאחר שהמחיר נעצר, נתמך ומראה מוכנות לחזור לעלות.	מסחר-סווינג::רמות-קריטיות subject/נקודת-כניסה difficulty/medium
מדוע ירידה קצרת טווח יכולה להיות הזדמנות סווינג ולא סימן חולשה?	כאשר היא תיקון קטן בתוך מגמת עלייה רחבה ומגיעה לתמיכה משמעותית.	מסחר-סווינג::רמות-קריטיות subject/הקשר-מגמה difficulty/medium
מהו היפוך תפקידים של רמה קריטית?	רמה ששימשה התנגדות ולאחר פריצה חוזרת לשמש תמיכה, או להפך.	מסחר-סווינג::רמות-קריטיות subject/טרמינולוגיה difficulty/easy
מהו התנאי שמבדיל תיקון בריא מהיפוך מגמה בהקשר של עסקת סווינג עולה?	המגמה ברזולוציה הרחבה עדיין עולה והתיקון נשאר קטן ביחס אליה.	מסחר-סווינג::רמות-קריטיות subject/קצה-וחריגים difficulty/hard
